ano_mes,ano,faixa_potencia,marca,soma_kw,qtd_instalacoes,kw_medio_instalacao
1900-01,1900,≤10 kW,Fronius,2.34,1,2.34
1900-01,1900,≤10 kW,Goodwe,8.0,2,4.0
1900-01,1900,≤10 kW,Growatt,23.0,4,5.75
1900-01,1900,≤10 kW,Huawei,4.08,1,4.08
1900-01,1900,≤10 kW,Intelbras,4.28,1,4.28
1900-01,1900,≤10 kW,Sofar Solar,5.0,1,5.0
1900-01,1900,≤10 kW,Solis (Ginlong),8.8,1,8.8
1900-01,1900,≤10 kW,Sungrow,5.0,1,5.0
1900-01,1900,10–20 kW,WEG,10.5,1,10.5
1900-01,1900,20–75 kW,Growatt,141.0,2,70.5
2009-06,2009,≤10 kW,Foxess,5.0,1,5.0
2009-06,2009,≤10 kW,Fronius,8.2,1,8.2
2009-06,2009,≤10 kW,Growatt,10.0,2,5.0
2009-09,2009,≤10 kW,APsystems,2.0,1,2.0
2009-09,2009,≤10 kW,Bel Energy,9.2,4,2.3
2009-09,2009,≤10 kW,Deye,12.0,2,6.0
2009-09,2009,≤10 kW,Ecosolys,1.0,1,1.0
2009-09,2009,≤10 kW,WEG,4.0,1,4.0
2009-09,2009,10–20 kW,Bel Energy,113.0,8,14.125
2009-09,2009,10–20 kW,Komeco,10.45,1,10.45
2009-10,2009,≤10 kW,Deye,10.0,1,10.0
2010-03,2010,20–75 kW,Outros,30.0,1,30.0
2010-04,2010,≤10 kW,WEG,1.2,1,1.2
2010-08,2010,≤10 kW,Solis (Ginlong),6.0,1,6.0
2010-09,2010,≤10 kW,Fronius,6.0,1,6.0
2010-12,2010,≤10 kW,Intelbras,8.0,1,8.0
2011-02,2011,≤10 kW,Bel Energy,10.0,1,10.0
2011-02,2011,≤10 kW,Outros,1.0,1,1.0
2011-02,2011,≤10 kW,WEG,2.0,1,2.0
2011-04,2011,≤10 kW,Outros,3.0,1,3.0
2011-06,2011,≤10 kW,WEG,1.0,1,1.0
2011-06,2011,10–20 kW,ABB/FIMER,15.4,1,15.4
2011-06,2011,10–20 kW,Bel Energy,14.0,1,14.0
2011-07,2011,10–20 kW,Komeco,10.45,1,10.45
2011-09,2011,≤10 kW,Sungrow,4.08,1,4.08
2011-10,2011,≤10 kW,ABB/FIMER,5.0,1,5.0
2011-10,2011,≤10 kW,APsystems,2.0,1,2.0
2011-10,2011,≤10 kW,Bel Energy,11.0,4,2.75
2011-10,2011,≤10 kW,Deye,20.0,4,5.0
2011-10,2011,≤10 kW,Intelbras,3.0,1,3.0
2011-10,2011,≤10 kW,Kstar,2.0,2,1.0
2011-10,2011,≤10 kW,Outros,22.0,3,7.333333333333333
2011-10,2011,≤10 kW,PHB,6.0,3,2.0
2011-10,2011,≤10 kW,Solis (Ginlong),1.0,1,1.0
2011-10,2011,≤10 kW,Tsun,4.0,1,4.0
2011-10,2011,≤10 kW,WEG,24.8,5,4.96
2011-10,2011,10–20 kW,BYD,12.0,1,12.0
2011-10,2011,10–20 kW,Bel Energy,42.0,3,14.0
2011-10,2011,20–75 kW,BYD,60.0,1,60.0
2012-01,2012,≤10 kW,APsystems,2.0,1,2.0
2012-01,2012,75–300 kW,Bedin Solar,195.0,1,195.0
2012-02,2012,300 kW–1 MW,SMA,403.0,1,403.0
2012-03,2012,≤10 kW,APsystems,2.0,1,2.0
2012-03,2012,≤10 kW,Growatt,1.0,1,1.0
2012-06,2012,≤10 kW,Growatt,3.0,1,3.0
2012-07,2012,≤10 kW,Refusol,3.0,1,3.0
2012-09,2012,≤10 kW,APsystems,4.0,2,2.0
2012-09,2012,≤10 kW,Bel Energy,2.0,1,2.0
2012-09,2012,≤10 kW,Deye,1.0,1,1.0
2012-09,2012,≤10 kW,Growatt,11.0,3,3.6666666666666665
2012-09,2012,≤10 kW,Intelbras,6.0,1,6.0
2012-09,2012,≤10 kW,Kstar,1.0,1,1.0
2012-09,2012,≤10 kW,Outros,50.0,5,10.0
2012-09,2012,≤10 kW,PHB,6.0,3,2.0
2012-09,2012,≤10 kW,SAJ,19.0,3,6.333333333333333
2012-09,2012,≤10 kW,Solis (Ginlong),14.0,3,4.666666666666667
2012-09,2012,≤10 kW,Sungrow,5.0,1,5.0
2012-09,2012,≤10 kW,WEG,6.0,1,6.0
2012-09,2012,10–20 kW,WEG,14.0,1,14.0
2012-10,2012,≤10 kW,APsystems,2.0,1,2.0
2012-11,2012,≤10 kW,Hoymiles,10.0,1,10.0
2012-12,2012,≤10 kW,Canadian Solar,3.0,1,3.0
2012-12,2012,≤10 kW,Outros,6.8,1,6.8
2013-02,2013,≤10 kW,Intelbras,2.67,1,2.67
2013-03,2013,≤10 kW,Bel Energy,2.0,1,2.0
2013-04,2013,≤10 kW,Growatt,1.0,1,1.0
2013-04,2013,10–20 kW,WEG,15.0,1,15.0
2013-05,2013,≤10 kW,Bel Energy,1.0,1,1.0
2013-05,2013,≤10 kW,Growatt,5.0,1,5.0
2013-05,2013,≤10 kW,Outros,2.0,1,2.0
2013-05,2013,10–20 kW,Bel Energy,14.0,1,14.0
2013-05,2013,20–75 kW,Intelbras,75.0,1,75.0
2013-05,2013,20–75 kW,Solis (Ginlong),75.0,1,75.0
2013-06,2013,≤10 kW,Growatt,1.0,1,1.0
2013-06,2013,10–20 kW,Komeco,10.45,1,10.45
2013-06,2013,20–75 kW,Fronius,51.0,2,25.5
2013-07,2013,≤10 kW,Deye,1.0,1,1.0
2013-07,2013,≤10 kW,Outros,10.0,1,10.0
2013-07,2013,10–20 kW,Bel Energy,14.0,1,14.0
2013-08,2013,≤10 kW,APsystems,8.0,4,2.0
2013-08,2013,≤10 kW,Bel Energy,2.2,1,2.2
2013-08,2013,≤10 kW,Deye,1.0,1,1.0
2013-08,2013,≤10 kW,Fronius,3.0,1,3.0
2013-08,2013,≤10 kW,Growatt,1.0,1,1.0
2013-08,2013,≤10 kW,Outros,2.0,1,2.0
2013-08,2013,≤10 kW,PHB,2.12,1,2.12
2013-08,2013,≤10 kW,SMA,11.29,2,5.645
2013-08,2013,≤10 kW,WEG,5.0,1,5.0
2013-08,2013,10–20 kW,Bel Energy,42.0,3,14.0
2013-08,2013,20–75 kW,Outros,22.8,1,22.8
2013-08,2013,75–300 kW,Fronius,250.0,1,250.0
2013-09,2013,≤10 kW,APsystems,2.0,1,2.0
2013-09,2013,≤10 kW,Bel Energy,2.0,1,2.0
2013-09,2013,≤10 kW,Ingeteam,6.3,1,6.3
2013-09,2013,≤10 kW,Outros,2.1,2,1.05
2013-09,2013,10–20 kW,Bel Energy,14.0,1,14.0
2013-09,2013,20–75 kW,SMA,32.0,1,32.0
2013-10,2013,≤10 kW,Chint,4.6,1,4.6
2013-10,2013,≤10 kW,Outros,16.08,4,4.02
2013-10,2013,≤10 kW,PHB,2.0,1,2.0
2013-10,2013,≤10 kW,SAJ,4.0,2,2.0
2013-10,2013,10–20 kW,Outros,12.6,1,12.6
2013-10,2013,10–20 kW,SMA,11.52,1,11.52
2013-10,2013,20–75 kW,Chint,37.8,1,37.8
2013-11,2013,≤10 kW,APsystems,2.0,1,2.0
2013-11,2013,≤10 kW,Ingeteam,6.61,1,6.61
2013-11,2013,≤10 kW,Outros,2.0,1,2.0
2013-11,2013,≤10 kW,SAJ,1.5,1,1.5
