raw_normalized,exemplo_bruto,qtd_instalacoes,soma_kw,pct_do_total_kw,correcao_marca
DAH SOLAR,DAH SOLAR,3750,31568.31,0.0625449632361491,
RENOVIGI B B POWER SOLIS,RENOVIGI/B&B POWER. SOLIS,810,24048.49,0.04764626053579996,
RISEN,RISEN,1171,23069.2,0.045706034497487225,
INVERSOR,INVERSOR,455,23000.39,0.04556970414213151,
ELSYS,155 - ELSYS,3504,20946.26,0.041499942874193146,
DAH,DAH,2226,19260.52,0.03816005720005646,
LEVEROS,185 - LEVEROS,2203,18731.82,0.03711256615403746,
JINKO,JINKO,2574,18716.56,0.037082332158648305,
NINGBO GINLONG,Ningbo Ginlong,571,18357.95,0.036371833267003,
TECH POWER,TECH POWER,2671,15984.14,0.03166870347704582,
SMA SOLAR,SMA SOLAR,312,15797.83,0.03129957531970933,
POWER ONE,Power-One,1787,15007.66,0.02973404477340173,
FREESUN,Freesun ,285,13867.76,0.02747560890550489,
HYXIPOWER,Hyxipower,2309,13713.72,0.027170415940252823,
EDGE,EDGE,461,13328.6,0.02640739390196488,
AUXISOL,AUXISOL,2185,12666.87,0.02509633611894587,
TRINA SOLAR,TRINA SOLAR,760,12326.45,0.02442187630830507,
EAST,EAST,1447,11792.0,0.023362993029423185,
JA SOLAR,JA SOLAR,888,11717.37,0.023215131753152336,
OMNIK,OMNIK,1289,11407.82,0.022601833373551084,
AFORE,AFORE,974,11405.82,0.02259787085777269,
GENERAL ELETRIC,GENERAL ELETRIC,307,10744.42,0.02128746688985711,
JINKO SOLAR,JINKO SOLAR,1113,10650.35,0.02110108996022025,
SMA SOLAR TECHNOLOGY,7 - SMA SOLAR TECHNOLOGY,397,10041.74,0.01989527659627544,
OSDA,OSDA,1380,10004.39,0.01982127661411389,
INVT,INVT,439,9853.29,0.01952190854705607,
TRINA,TRINA,799,9551.14,0.018923271475834884,
WDC,WDC,1602,9412.73,0.018649045571390986,
NAO IDENTIFICADO,Não_Identificado,1473,9313.07,0.018451593410153507,
CPS,CPS|,187,9049.26,0.01792891776640418,
PROJETOS PARTICULARES,119 - PROJETOS PARTICULARES,1440,8648.55,0.017135007917623634,
RENO,RENO,870,8641.72,0.01712147592624041,
ERA SOLAR,ERA SOLAR,1002,8342.6,0.016528842066423494,
CPS SCH250 275KTL DO EU,1649 - CPS SCH250/275KTL-DO/EU,3,8000.0,0.01585006311358425,
BELENERGY PLUS,BELENERGY PLUS,1067,7845.02,0.015543007765916342,
SOLAR,SOLAR,472,7712.93,0.015281303411332173,
NAO INF,NÃO INF,8,7430.98,0.014722687749472784,
FAB INVERSOR,fab inversor,951,7364.99,0.014591944541364607,
B B,B&B,829,7271.95,0.014407608307353622,
ELETROSUN,ELETROSUN,570,7221.5,0.014307653846843583,
SUNNY HIGHPOWER,Sunny Highpower,74,7125.0,0.014116462460535972,
BELENERGY ENERGIA SOLAR,BELENERGY ENERGIA SOLAR,938,7037.77,0.01394363733486123,
SCHNEIDER ELECTRIC,Schneider Electric ,607,7027.87,0.013924022881758166,
SERRANA,SERRANA,702,6734.78,0.013343336007013118,
SHENZHEN SOFARSOLAR CO,Shenzhen SOFARSOLAR Co +,303,6726.16,0.01332625756400823,
SOLAR ENERGY,Solar Energy,313,6582.66,0.013041947056908313,
SENERGY,SENERGY,623,6214.03,0.01231159596121324,
SUNOVA,SUNOVA,799,6213.75,0.012311041209004267,
REFU ELEKTRONIK GMBH,REFU Elektronik GmbH,210,6057.92,0.012002301792130538,
SUNNY,SUNNY,150,6024.75,0.011936583467945839,
GENERAL ELECTRIC,GENERAL ELECTRIC,257,5688.46,0.011270306252387433,
AE SOLAR,AE SOLAR,649,5602.27,0.011099541634917456,
WEQ,WEQ,376,5416.04,0.010730571978212105,
TAURO ECO 100 P,1305 - TAURO ECO 100-P,4,5400.0,0.01069879260166937,
CANDIAN SOLAR,CANDIAN SOLAR,159,5371.16,0.010641653124144898,
AUSENTE,AUSENTE,310,5334.35,0.01056872302124352,
INVERSOR SOLAR,INVERSOR SOLAR,347,5231.23,0.010364415707709417,
GE SOLAR,214 - GE SOLAR,440,5153.85,0.010211105972243274,
HUAWEII HUAWEII,"HUAWEII,HUAWEII",2,5061.0,0.010027146177231237,
SHENZHEN SOFARSOLAR CO LTD,"Shenzhen SOFARSOLAR Co, Ltd",6,5042.6,0.009990691032069992,
HUAWER,HUAWER,5,5039.01,0.009983578316247773,
VERIFICAR,Verificar,3,5000.0,0.009906289445990157,
STI,STI,1,5000.0,0.009906289445990157,
SOLIS RENOVIGI,SOLIS RENOVIGI,261,4963.91,0.009834785848769,
MOSO,MOSO,444,4888.99,0.009686350007710282,
REFU ELEKTRONIK,REFU Elektronik,236,4782.76,0.009475880982140777,
HCC,HCC,675,4760.37,0.009431520618001631,
STRING,STRING,260,4749.76,0.009410499471797241,
BONFIGLIOLI,Bonfiglioli ,87,4623.0,0.009159355221762498,
R5 6K S2 15,R5-6K-S2-15,761,4586.78,0.009087594061015745,
GROWATT DEYE,GROWATT / DEYE,302,4546.58,0.009007947493869985,
INVERSOR HAUWEI MICROINVERSOR,Inversor: HAUWEI; Microinversor:,3,4500.0,0.008915660501391141,
CHINTPOWER,CHINTPOWER,233,4480.24,0.008876510845500587,
HUAWAI,HUAWAI,67,4480.05,0.00887613440650164,
KACO NEW ENERGY,Kaco New Energy ,145,4475.53,0.008867179120842464,
REFUONE,REFUONE,643,4413.32,0.008743925067555454,
INVERSOR MICRO INVERSOR,Inversor: ; Micro Inversor:,511,4407.71,0.008732810210797054,
RENOVIGI SOLIS,RENOVIGI  SOLIS,222,4375.94,0.008669865647657232,
SOFARSOLAR CO LTD,"SOFARSOLAR Co., Ltd.",654,4375.78,0.008669548646394961,
LEDVANCE,217 - LEDVANCE,579,4362.43,0.008643098853574168,
EACH,EACH,460,4311.75,0.008542688703749612,
SOL PLANET,SOL PLANET,473,4295.2,0.008509898885683384,
SOLAR MAXX TECH,SOLAR MAXX TECH,724,4268.96,0.008457910678670829,
OMNIKSOL,20 - OMNIKSOL,301,4226.72,0.008374222345431103,
HOPESUN,165 - HOPESUN,207,4132.66,0.008187865228373135,
SUNNY TRIPOWER,Sunny Tripower,63,4123.41,0.008169538592898054,
HONOR SOLAR,HONOR SOLAR,609,4120.83,0.008164426947543922,
ALDO SOLAR,ALDO SOLAR,441,4103.65,0.0081303889370075,
LONGI,LONGI,413,4076.55,0.008076696848210234,
8000MTL S,8000MTL-S,482,3938.86,0.007803897449446558,
SIW500H,SIW500H,14,3904.6000000000004,0.0077360195541626335,
FRONIUS GROWATT,FRONIUS GROWATT,145,3892.71,0.0077124623978600685,
RENOVIG,RENOVIG,393,3889.41,0.0077059242468257155,
HAWEI,HAWEI,45,3865.4500000000003,0.007658453307800531,
FILMER,FILMER,4,3840.0,0.007608030294520441,
DAYE,DAYE/,518,3828.7599999999998,0.007585760955845853,
JSL COMERCIO DE CORREIAS LTDA ME,14 - JSL COMÉRCIO DE CORREIAS LTDA ME,487,3721.76,0.007373766361701665,
VERTYS,VERTYS |,434,3702.77,0.007336142274385794,
K STAR,K STAR,125,3667.4700000000003,0.007266203870897103,
HONOR,HONOR,518,3641.69,0.007215127042513579,
GINLONG TECHNOLOGIES,GINLONG TECHNOLOGIES,150,3619.14,0.007170449677112162,
UNDEFINED,undefined,27,3470.12,0.006875202626463872,
FOX,FOX,472,3466.34,0.006867713471642704,
SUNGROW FRONIUS,"SUNGROW, FRONIUS|",57,3423.48,0.006782796758511677,
IMPERIUM,IMPERIUM,294,3399.05,0.006734394628278568,
FRONIUS SUNGROW,FRONIUS/SUNGROW,47,3395.21,0.006726786597984048,
NAO ENCONTRADO,não encontrado,199,3299.67,0.006537497219250068,
MAX 75KTL3 XL2,MAX 75KTL3-XL2,43,3251.4,0.0064418619009384784,
1XGROWATT,1XGROWATT//,123,3219.68,0.006379016400693117,
LEAPTON,LEAPTON,421,3203.49,0.0063469398354670005,
R5 5K S2 15,R5-5K-S2-15,642,3136.14,0.006213502116629513,
SHENZEN,shenzen,168,3129.71,0.00620076262840197,
INGECON,INGECON,38,3126.61,0.006194620728945457,
AMERISOLAR,AMERISOLAR,326,3109.71,0.0061611374706180095,
CENTRAL SOLAR,CENTRAL SOLAR,363,3035.59,0.006014286635870653,
SHENZHEN SOFARSOLAR,Shenzhen SOFARSOLAR,115,3027.0,0.005997267630602441,
PAINEL NAO IDENTIFICADO,PAINEL NAO IDENTIFICADO,390,3019.81,0.005983022386379107,
SOLIS SOLPLANET,SOLIS|SOLPLANET,22,3008.91,0.005961426675386848,
R6 10K S3,R6-10K-S3,286,3005.26,0.005954195084091275,
PHBSOLAR,PHBSOLAR,286,2988.26,0.005920513699974909,
SOLIS DEYE,SOLIS|DEYE|,164,2956.75,0.005858084263886279,
BALFAR,BALFAR,122,2945.49,0.005835775300053909,
HUWAEI,HUWAEI,196,2926.9,0.0057989437158937176,
RISEN SOLAR,Risen Solar,288,2920.45,0.00578616460250839,
SCHNEIDER,SCHNEIDER,78,2919.9300000000003,0.005785134348406008,
DEYE SOLIS,DEYE / SOLIS,100,2877.0,0.005700078947222736,
ENGIN,ENGIN,134,2862.98,0.00567230171161618,
ECO SOLYS,ECO SOLYS,370,2830.83,0.005608604270478462,
JNG,JNG,289,2675.49,0.0053008356699704405,
ASTRONERGY,ASTRONERGY,300,2623.51,0.005197849884889928,
GROWATT SOLIS,GROWATT / SOLIS,92,2622.32,0.005195492188001782,
SUNNY BOY SMA SOLAR,247 - SUNNY BOY SMA SOLAR,19,2589.1,0.005129674800922622,
INVERSOR GROWAT MICRO INVERSOR,Inversor: GROWAT; Micro Inversor:,352,2543.97,0.005040260632383115,
SUN2000 100KTL H,SUN2000-100KTL-H,1,2500.0,0.004953144722995078,
HAUWEI HAUWEI SUN2000 200KTL H2 SUN2000 100KTL H1,HAUWEI | HAUWEI - SUN2000-200KTL-H2 | SUN2000-100KTL-H1,1,2500.0,0.004953144722995078,
SUN2000 250KTL H1,1304 - SUN2000-250KTL-H1,3,2500.0,0.004953144722995078,
