raw_normalized,exemplo_bruto,qtd_instalacoes,soma_kw,pct_do_total_kw,correcao_marca
W M LAUDISIO JUNIOR ME,W M Laudisio Junior ME,1712,27076.75,0.05364602455134279,
SOLPLANET,164 - SOLPLANET,2658,20704.43,0.0410208152788484,
ORION FOTOVOLTAICA IMPORTACAO E EXPORTACAO LTDA,138 - ORION FOTOVOLTAICA IMPORTAÇÃO E EXPORTAÇÃO LTDA,1040,19204.03,0.03804813594189567,
SOLARGIGA,189 - SOLARGIGA,2364,18841.0,0.037328879890380105,
SOLARIS,Solaris,87,18476.05,0.03660581982371728,
JETION SOLAR,JETION SOLAR,2275,18373.26,0.03640216632528662,
JH SOLAR,JH SOLAR,2116,18128.63,0.035917491207852106,
TOPSOLA,200 - TOPSOLA,1551,18079.51,0.035820171820334694,
JETION,JETION,2203,17820.53,0.03530706565219019,
VERTEX,VERTEX,650,17391.54,0.03445712583030313,
SOFAR SOLAR,SOFAR SOLAR,2297,16539.3,0.032768618606812995,
NPLUS,NPLUS,2079,16511.93,0.03271439157838565,
T SUN,T SUN,2146,16002.61,0.03170529731025931,
GOODWE,100 - GOODWE,1827,15730.31,0.03116580078703068,
HOYMILES,HOYMILES,2383,15039.62,0.0297973657755405,
5G ENERGIA,5G ENERGIA,300,14318.35,0.02836834389779863,
SIRIUS,Sirius,1314,13646.0,0.027036245155996338,
QUALITY,QUALITY,839,13465.91,0.02667944042273066,
SCHUTTEN,SCHUTTEN,1241,13401.5,0.026551827602087415,
DHN 72X16 DG 585W,DHN-72X16/DG-585W,588,13274.43,0.026300069162107025,
WDC SOLAR,WDC SOLAR,1265,12968.61,0.025694160874432482,
RENE SOLAR,RENE SOLAR,1346,12946.77,0.025650890202132397,
WDC,WDC,1352,12636.56,0.025036284192324273,
SUNPRO,SUNPRO,1969,12511.14,0.024787794827861056,
AE SOLAR BRASIL COMERC IMPORT EXPORT E SERV EM ENERGIA ALTERNATIVA LTDA,299 - AE SOLAR BRASIL COMERC. IMPORT. EXPORT. E SERV. EM ENERGIA ALTERNATIVA LTDA,1111,12223.48,0.02421786618345435,
TALLMAX,TALLMAX,571,12201.67,0.024174654948890942,
JCL,JCL,463,12186.1,0.02414380676355613,
ET SOLAR,ET Solar ,1279,12172.01,0.02411589083989733,
DYA ENERGIA SOLAR,Dya Energia Solar ,615,12168.05,0.024108045058656102,
SOLARNPLUS,SOLARNPLUS,806,11356.4,0.022499957092888524,
SINE,SINE,1015,11084.94,0.021962124826286823,
FRONIUS,FRONIUS,786,11076.0,0.021944412380757394,
HONORSOLAR,HONORSOLAR,1285,10835.89,0.021468692548982052,
SUNPOWER,Sunpower ,1063,10831.66,0.021460311828110746,
TOPCON,TOPCON,1237,10773.56,0.02134520074474834,
AMOSOLAR,AMOSOLAR,922,10655.08,0.02111046131003616,
BELENERGY ENERGIA SOLAR,BELENERGY ENERGIA SOLAR,1231,10569.44,0.02094078638440524,
SOLARMAXX,SOLARMAXX,1690,10495.16,0.02079361854839561,
VOLTIX,VOLTIX,1322,10459.31,0.02072259045306786,
HT SOLAR,HT SOLAR,919,10324.2,0.020454902699658314,
SOFAR,SOFAR,1262,9953.2,0.019719856022765846,
AESOLAR,AESOLAR,904,9943.53,0.0197006972589773,
QXPV,QXPV,699,9518.57,0.018858741906383703,
CONSORT,CONSORT,1045,9449.68,0.01872225305039685,
SUNX,SUNX,918,9207.69,0.01824280845378982,
J SOLAR,J£ SOLAR,956,9189.13,0.018206036307366304,
FOXESS,FoxESS,1176,9167.69,0.018163558138221902,
EGING PV,EGING PV,1060,9044.46,0.017919407728536025,
TELESUN,TELESUN,971,8914.7,0.01766231970483369,
HAITAI,HAITAI,160,8868.72,0.017571221467088362,
SOLAR NPLUS,SOLAR NPLUS,1154,8770.68,0.01737697894363139,
AMRISOLAR NEW,265 - AMRISOLAR NEW,712,8704.95,0.017246750862574406,
JAM,JAM,624,8650.29,0.017138455306350837,
HALF CELL,HALF CELL,1060,8574.57,0.016988434458980763,
RIO SOLAR,RIO SOLAR,1002,8449.52,0.016740678159936552,
TRINA SOLAR BRASIL,TRINA Solar Brasil,756,8242.18,0.01632988414919023,
JAM72D30 540MB,920 - JAM72D30-540MB,40,8187.86,0.016222262220648993,
JA SOLAR JA SOLAR,JA SOLAR | JA SOLAR,40,7944.3,0.015739707049155918,
PANEL SOLAR,Panel Solar,594,7907.15,0.01566610331857221,
RISENSOLAR,RisenSolar,421,7628.11,0.015113253117170393,
SUNPRO POWER,SUNPRO POWER,867,7611.95,0.015081235989680954,
ASTROSEMI,ASTROSEMI,313,7575.94,0.01500989089309093,
SUNKET,179 - SUNKET,899,7447.32,0.014755061503382282,
NAO INF,NÃO INF,8,7430.98,0.014722687749472784,
J A SOLAR,J A SOLAR,633,7422.32,0.01470553005615233,
PAINEL NAO IDENTIFICADO,PAINEL NAO IDENTIFICADO,979,7416.41,0.014693820822027172,
SCHUTTEN SOLAR,SCHUTTEN SOLAR,792,6983.94,0.013836986222685697,
AKCOME,AKCOME,658,6894.4,0.013659584391286908,
APSYSTEMS,APSYSTEMS,1142,6887.99,0.013646884528217149,
SUNEDISON,SunEdison ,753,6847.53,0.013566722834020196,
SINOSOLA,SINOSOLA,666,6839.5,0.013550813333169934,
SOLAR,SOLAR,676,6770.62,0.013414344289761973,
BRASIL SOLAIR,Brasil Solair ,467,6766.25,0.01340568619278618,
PROJETOS PAINEIS,120 - PROJETOS PAINEIS,1019,6622.75,0.013121375685686262,
BLUESUN,BLUESUN,745,6594.6,0.013065603276105339,
QUALITY SOLAR,QUALITY SOLAR,390,6585.51,0.013047593641892527,
SUNOVASOLAR,SUNOVASOLAR,597,6559.9400000000005,0.012996932877665734,
CANANDIAN,CANANDIAN,187,6557.89,0.012992871298992879,
RENAC,RENAC |,709,6439.9,0.012759102680646402,
ODEX SOLAR,ODEX SOLAR,987,6431.67,0.012742796928218303,
HY SOLAR,HY SOLAR,772,6230.87,0.012344960344067336,
SHENZHEN,Shenzhen,284,6229.13,0.012341512955340132,
BOLD ENERGY,BOLD ENERGY,566,6221.82,0.012327029960170096,
EGING,EGING ,618,6149.8,0.012184339766990052,
ZSHINE SOLAR,ZSHINE SOLAR,360,6091.42,0.012068673931418672,
CONSORT SOLAR,CONSORT SOLAR,748,6077.37,0.01204083725807544,
QNSOLAR,QNSOLAR,512,5926.54,0.011742004130647701,
TOPTEC,TOPTEC,635,5883.31,0.01165635435209767,
PHB,PHB,742,5783.07,0.011457753061284458,
SOLAR MAXX,199 - SOLAR MAXX,917,5750.04,0.011392312113204248,
CS7N 650 MB AG,1047 - CS7N-650-MB-AG,5,5700.0,0.011293169968428779,
LIVOLTEK,LIVOLTEK,903,5442.26,0.010782520560066879,
ALDO,Aldo,370,5300.39,0.010501439503326354,
ABB,ABB,291,5296.97,0.010494663601345296,
HUANSHENG,HUANSHENG,770,5275.77,0.0104526609340943,
DHA,DHA,613,5143.87,0.010191333018509077,
MULTIWAY,MULTIWAY,30,5107.97,0.010120205860286868,
ASTRO ENERGY,ASTRO ENERGY,524,5084.41,0.010073527424417363,
SOLAR PLUS,SOLAR PLUS,643,5076.91,0.010058667990248377,
ON GRID ENERGY,306 - ON-GRID ENERGY,393,5071.26,0.01004747388317441,
UPSOLAR,UPSOLAR,193,5064.25,0.01003358526537113,
SAEE HT,SAEE HT,1,5000.0,0.009906289445990157,
6480,6480,1,5000.0,0.009906289445990157,
ZNSHAINESOLAR,ZNSHAINESOLAR,5,5000.0,0.009906289445990157,
RSM144 6 350P,RSM144-6-350P,1,5000.0,0.009906289445990157,
VERIFICAR,Verificar,3,5000.0,0.009906289445990157,
VIOLIN,VIOLIN,1,5000.0,0.009906289445990157,
RIZEN,RIZEN,245,4870.86,0.009650429802179122,
