raw_normalized,canonical_brand,match_method,exemplo_bruto,data_primeira_ocorrencia,revisao_manual,observacoes
0,Não informado,TEXTO_PLACEHOLDER,0,2026-08-17,False,
0 360,Outros,NAO_ENCONTRADO,"0,360",2026-08-20,False,
0 BELENERGY BELENERGY,Outros,NAO_ENCONTRADO,0 BELENERGY BELENERGY,2026-08-20,False,
0 GROWATT,Growatt,TOKEN,0 | GROWATT,2026-08-17,False,
0 HOYMILES HOYMILES,Hoymiles,TOKEN,0 Hoymiles Hoymiles,2026-08-17,False,
0 MIC3000TL X,Outros,NAO_ENCONTRADO,0	MIC3000TL-X,2026-08-20,False,
00 00 00,Outros,NAO_ENCONTRADO,00:00:00,2026-08-20,False,
000021 2024,Outros,NAO_ENCONTRADO,000021 2024,2026-08-20,False,
000G3 MICROINVERTER,Outros,NAO_ENCONTRADO,000G3 Microinverter,2026-08-20,False,
000MTL S,Outros,NAO_ENCONTRADO,000MTL-S,2026-08-20,False,
001299 2020,Outros,NAO_ENCONTRADO,001299/2020,2026-08-20,False,
001419 2019,Outros,NAO_ENCONTRADO,001419/2019,2026-08-20,False,
001652 2018,Outros,NAO_ENCONTRADO,001652 2018,2026-08-20,False,
002008 2022,Outros,NAO_ENCONTRADO,002008/2022,2026-08-20,False,
002133,Outros,NAO_ENCONTRADO,002133,2026-08-20,False,
002134,Outros,NAO_ENCONTRADO,002134/,2026-08-20,False,
002939 2020,Outros,NAO_ENCONTRADO,002939/2020,2026-08-20,False,
003271 2025,Outros,NAO_ENCONTRADO,003271/2025,2026-08-20,False,
003273 2025,Outros,NAO_ENCONTRADO,003273/2025,2026-08-20,False,
003359 2020,Outros,NAO_ENCONTRADO,003359/2020,2026-08-20,False,
003873 2021,Outros,NAO_ENCONTRADO,003873/2021,2026-08-20,False,
004132 2024,Outros,NAO_ENCONTRADO,004132/2024,2026-08-20,False,
004397 2024,Outros,NAO_ENCONTRADO,004397/2024,2026-08-20,False,
004584 2018,Outros,NAO_ENCONTRADO,004584/2018,2026-08-20,False,
004648 2020,Outros,NAO_ENCONTRADO,004648/2020,2026-08-20,False,
004738 2021,Outros,NAO_ENCONTRADO,004738 2021,2026-08-20,False,
005407 2020,Outros,NAO_ENCONTRADO,005407/2020,2026-08-20,False,
006030 2021,Outros,NAO_ENCONTRADO,006030/2021,2026-08-20,False,
00629 2020,Outros,NAO_ENCONTRADO,00629/2020,2026-08-20,False,
006290 2020,Outros,NAO_ENCONTRADO,006290/2020,2026-08-20,False,
006508 2022,Outros,NAO_ENCONTRADO,006508/2022,2026-08-20,False,
006596 2019,Outros,NAO_ENCONTRADO,006596/2019,2026-08-20,False,
006746 2023,Outros,NAO_ENCONTRADO,006746 2023,2026-08-20,False,
006987 2020,Outros,NAO_ENCONTRADO,006987/2020,2026-08-20,False,
007492 2019,Outros,NAO_ENCONTRADO,007492/2019,2026-08-20,False,
007996 2022,Outros,NAO_ENCONTRADO,007996/2022,2026-08-20,False,
007999 2022,Outros,NAO_ENCONTRADO,007999/2022,2026-08-20,False,
008259 2021,Outros,NAO_ENCONTRADO,008259/2021,2026-08-20,False,
009617 2019,Outros,NAO_ENCONTRADO,009617/2019,2026-08-20,False,
00APSYSTEMS,Outros,NAO_ENCONTRADO,00APSYSTEMS,2026-08-20,False,
00DEYE,Outros,NAO_ENCONTRADO,00DEYE,2026-08-20,False,
00HOYMILES,Outros,NAO_ENCONTRADO,00HOYMILES,2026-08-20,False,
01,Outros,NAO_ENCONTRADO,01,2026-08-20,False,
01 FRONIUS,Fronius,TOKEN,01 Fronius,2026-08-17,False,
01 OMNIK EXISTENTE 02 HOYMILES A INSTALAR,Hoymiles,TOKEN,01 OMNIK (EXISTENTE) 02 Hoymiles ( A INSTALAR),2026-08-17,False,
01 SOLPLANET,Solplanet,TOKEN,01 SOLPLANET,2026-08-17,False,
01 UNID CANADIAN SOLAR 01 UNID SOLIS,Solis (Ginlong),TOKEN,01 unid. CANADIAN SOLAR 01 unid. SOLIS,2026-08-17,False,
01 WEG HUAWEI,Outros,TOKEN_AMBIGUO,01 WEG/ Huawei,2026-08-20,False,
01XAPSYSTEMS 02XDEYE,Outros,NAO_ENCONTRADO,01XAPSystems/02XDEYE,2026-08-20,False,
02 SOFAR 01 B B,Sofar Solar,TOKEN,(02)SOFAR / (01) B&B,2026-08-17,False,
03 HOYMILES E 01 DEYE,Outros,TOKEN_AMBIGUO,(03) HOYMILES E (01) DEYE,2026-08-20,False,
07 175 725 0001,Outros,NAO_ENCONTRADO,07.175.725/0001,2026-08-20,False,
07 X ENPHASE,Enphase,TOKEN,(07) X ENPHASE,2026-08-17,False,
0EMPALUXEMPALUX,Outros,NAO_ENCONTRADO,0EMPALUXEMPALUX,2026-08-20,False,
0G3 US 220 D,Outros,NAO_ENCONTRADO,0G3-US-220 D,2026-08-20,False,
0GROWATT,Outros,NAO_ENCONTRADO,0Growatt,2026-08-20,False,
0NEPNEP,Outros,NAO_ENCONTRADO,0NEPNEP,2026-08-20,False,
